Date,Open,High,Low,Close,Volume,Market Cap
25-10-2017,0.20711299777030945,0.20823700726032257,0.20180299878120422,0.20460399985313416,75017504,7883706989.6
24-10-2017,0.19556699693202972,0.217508003115654,0.19045500457286835,0.2066439986228943,220080992,7962311329
23-10-2017,0.20350399613380432,0.20391899347305298,0.19072900712490082,0.1969279944896698,99914800,7587938896.83
22-10-2017,0.21095800399780273,0.211900994181633,0.20072199404239655,0.20417700707912445,75849504,7867254022.48
21-10-2017,0.21018899977207184,0.2123810052871704,0.20077399909496307,0.2110159993171692,116807000,8130771217.16
20-10-2017,0.21508599817752838,0.2238219976425171,0.20875400304794312,0.210548996925354,182704000,8112776988.49
19-10-2017,0.2182289958000183,0.23179000616073608,0.20831699669361115,0.21514999866485596,304542016,8290060599.07
18-10-2017,0.23121599853038788,0.2381500005722046,0.2072650045156479,0.21852000057697296,354224992,8419911885.24
17-10-2017,0.2560980021953583,0.2631469964981079,0.22293899953365326,0.23206399381160736,411264992,8941783048.4
16-10-2017,0.2633860111236572,0.291359007358551,0.24900999665260315,0.25623199343681335,963158016,9873013281.06
15-10-2017,0.25753700733184814,0.2684189975261688,0.24904799461364746,0.26398301124572754,280211008,10171671239.2
